user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_equities,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference,factor_weight_allocation_strength
150,0.15,0.21,0.36,0.08,0.2,3.7,3.33,1.79,1.2,24.16,4.64,9.78,3.38,3.21,22.24,32.59,10.15,15.23,5.79,25.65,14.86,28.32
151,0.08,0.26,0.22,0.3,0.14,8.54,1.0,2.28,1.11,11.6,22.86,2.77,29.74,12.77,4.65,15.61,2.17,36.85,23.77,2.89,26.03,8.29
152,0.31,0.3,0.1,0.18,0.11,7.35,3.33,7.96,8.47,4.9,25.73,25.53,0.77,1.09,22.81,19.17,2.55,9.66,24.95,30.3,21.14,11.4
153,0.17,0.23,0.33,0.17,0.1,9.82,10.0,4.07,2.35,16.82,15.41,3.8,9.95,8.42,23.74,21.86,24.89,9.18,6.92,7.58,20.94,30.49
154,0.17,0.34,0.17,0.26,0.06,6.29,1.0,9.58,3.28,16.88,4.73,18.48,24.27,30.24,2.98,2.42,24.61,22.45,11.6,14.75,14.21,12.38
155,0.23,0.17,0.18,0.31,0.11,1.81,10.0,4.64,9.13,8.19,19.46,18.83,14.98,0.44,20.59,17.51,23.85,4.11,7.86,33.79,5.64,24.75
156,0.34,0.09,0.06,0.11,0.4,5.46,10.0,8.61,2.49,24.14,6.65,12.16,19.32,10.22,15.6,11.91,18.2,12.28,9.0,23.56,14.71,22.25
157,0.28,0.2,0.35,0.06,0.11,3.15,10.0,6.18,2.67,12.87,22.62,5.46,12.54,22.15,14.99,9.37,30.07,15.93,1.0,29.3,4.42,19.28
158,0.08,0.13,0.26,0.21,0.32,8.57,3.33,2.24,5.4,18.59,6.12,9.73,9.69,23.57,22.49,9.81,2.66,25.46,25.76,13.18,3.83,29.11
159,0.1,0.22,0.19,0.26,0.23,5.07,6.67,8.67,6.41,2.92,23.73,23.34,19.82,6.78,12.97,10.44,13.31,26.0,10.97,21.87,12.8,15.05
160,0.06,0.37,0.2,0.3,0.07,7.01,1.0,2.04,5.01,20.95,6.41,2.29,28.9,3.59,18.5,19.36,28.83,6.06,2.59,32.91,9.17,20.44
161,0.1,0.25,0.28,0.14,0.23,7.53,6.67,9.2,8.22,9.35,15.38,18.36,18.91,7.07,16.53,14.4,16.0,23.64,17.33,5.99,13.97,23.07
162,0.17,0.11,0.02,0.41,0.29,4.19,3.33,5.59,1.29,4.84,7.82,1.2,16.51,0.76,34.74,34.13,20.46,21.35,21.81,7.84,15.44,13.1
163,0.14,0.04,0.34,0.19,0.29,2.87,1.0,7.45,3.32,12.58,15.48,27.57,8.55,3.49,6.56,25.77,36.24,4.24,25.17,28.07,1.81,4.47
164,0.33,0.03,0.4,0.12,0.12,2.96,1.0,5.78,7.48,20.95,3.21,6.96,15.16,27.42,20.09,6.21,16.8,21.7,19.3,12.06,20.49,9.65
165,0.38,0.03,0.13,0.46,0.0,8.59,1.0,8.51,4.93,14.78,16.78,9.71,8.09,7.64,18.37,24.63,25.53,25.36,14.8,15.98,11.52,6.81
166,0.3,0.16,0.34,0.16,0.04,3.82,6.67,5.03,1.94,22.25,11.07,7.62,33.17,10.51,0.02,15.36,2.57,25.53,9.7,17.4,6.85,37.95
167,0.19,0.21,0.17,0.2,0.23,5.68,6.67,9.4,2.64,19.08,2.65,18.04,25.97,26.9,0.32,7.04,25.28,23.05,16.31,9.65,17.97,7.74
168,0.17,0.14,0.34,0.18,0.17,2.59,1.0,2.02,5.91,15.72,18.75,19.14,20.13,0.38,7.83,18.05,19.49,17.19,19.39,17.26,15.42,11.25
169,0.04,0.33,0.35,0.25,0.03,8.73,1.0,9.61,4.08,27.44,0.92,4.87,22.74,23.08,12.8,8.15,19.19,12.89,19.5,7.45,17.21,23.76
170,0.15,0.13,0.17,0.33,0.22,7.04,6.67,5.93,8.67,2.4,32.28,0.18,18.47,5.39,28.61,12.67,17.19,12.59,11.14,22.66,25.11,11.31
171,0.32,0.15,0.08,0.2,0.25,6.72,3.33,7.42,4.53,21.89,4.74,9.36,20.92,11.15,15.05,16.89,11.28,19.54,24.02,6.41,17.87,20.88
172,0.03,0.12,0.3,0.19,0.36,6.05,6.67,6.66,2.93,14.43,10.07,16.56,24.44,19.93,7.76,6.81,13.11,22.81,14.63,22.31,18.5,8.64
173,0.14,0.17,0.44,0.06,0.19,9.11,10.0,1.49,4.98,1.41,19.21,2.52,18.07,18.66,24.34,15.79,16.87,32.92,12.8,5.02,4.4,27.99
174,0.04,0.15,0.38,0.42,0.01,8.04,10.0,7.52,5.95,17.72,4.85,2.68,9.52,35.24,1.8,28.19,20.47,22.57,21.55,21.92,5.37,8.12
175,0.13,0.31,0.39,0.0,0.17,2.09,1.0,6.48,4.22,4.47,13.34,5.35,22.48,6.81,24.07,23.48,8.42,9.95,17.3,26.39,27.31,10.63
176,0.11,0.28,0.08,0.1,0.43,3.62,1.0,4.24,4.09,17.79,22.06,0.12,14.89,5.7,22.34,17.1,21.19,4.39,1.0,30.14,25.53,17.75
177,0.21,0.18,0.14,0.15,0.32,7.73,6.67,6.32,2.67,19.19,0.79,26.16,13.83,2.58,18.69,18.76,23.0,26.58,11.96,12.07,17.4,8.99
178,0.13,0.14,0.32,0.17,0.24,4.85,6.67,3.57,5.96,10.96,12.3,16.11,12.9,24.48,15.9,7.35,11.57,11.55,16.91,28.1,15.27,16.6
179,0.13,0.3,0.22,0.06,0.29,9.83,6.67,9.33,2.55,27.35,5.25,26.13,1.38,27.69,11.56,0.64,8.52,24.81,19.45,12.78,24.43,10.01
180,0.22,0.15,0.21,0.2,0.22,5.24,10.0,8.64,6.43,18.11,11.21,14.75,15.86,5.63,13.68,20.76,27.72,14.43,18.66,14.62,13.28,11.29
181,0.04,0.53,0.05,0.17,0.21,4.14,1.0,2.05,8.68,3.25,13.6,26.3,4.07,16.01,21.56,15.21,24.95,27.02,2.66,25.81,17.71,1.85
182,0.41,0.17,0.0,0.14,0.28,2.17,10.0,2.81,9.34,7.17,21.72,22.16,17.54,9.72,11.27,10.42,11.68,25.78,28.35,1.4,26.08,6.71
183,0.18,0.13,0.25,0.25,0.19,6.38,10.0,8.1,6.64,4.72,19.18,24.89,8.41,21.09,21.02,0.69,22.71,22.98,23.05,14.43,6.09,10.74
184,0.26,0.14,0.11,0.02,0.47,1.81,10.0,5.95,8.95,12.5,10.14,9.35,7.07,16.24,18.16,26.54,21.95,20.0,20.09,13.64,11.48,12.84
185,0.27,0.03,0.26,0.08,0.36,6.47,6.67,4.18,9.22,13.62,10.42,18.42,11.39,19.31,16.23,10.61,19.92,16.22,14.8,19.86,15.35,13.85
186,0.09,0.09,0.24,0.11,0.47,7.63,1.0,4.02,9.15,12.82,20.1,21.83,22.13,6.15,12.18,4.79,17.15,18.07,17.67,26.57,1.93,18.61
187,0.29,0.09,0.09,0.31,0.22,1.14,1.0,4.27,2.94,0.75,4.67,21.96,3.02,30.24,21.34,18.02,15.55,48.48,9.84,3.52,17.49,5.12
188,0.2,0.31,0.03,0.36,0.1,9.47,10.0,2.89,5.14,17.42,5.12,13.24,18.05,13.45,21.27,11.45,11.72,23.7,19.97,18.17,21.82,4.62
189,0.2,0.35,0.18,0.23,0.04,9.24,6.67,3.85,3.33,5.89,17.22,20.66,9.33,22.45,19.92,4.53,3.34,11.57,26.63,21.32,6.33,30.81
190,0.25,0.07,0.36,0.02,0.3,7.81,1.0,5.19,7.34,27.78,14.24,18.46,29.67,0.13,3.08,6.64,15.72,29.79,11.98,8.82,10.21,23.48
191,0.18,0.42,0.06,0.27,0.07,8.55,10.0,5.04,9.22,7.14,12.56,2.65,14.67,27.2,29.25,6.53,32.54,21.97,10.17,7.86,16.64,10.82
192,0.21,0.4,0.02,0.01,0.36,8.38,1.0,1.75,9.37,5.0,4.01,16.13,14.04,23.24,12.41,25.17,25.26,4.56,21.21,17.98,6.87,24.12
193,0.3,0.19,0.38,0.01,0.12,8.26,1.0,9.07,7.38,20.8,13.76,24.96,3.28,6.7,17.43,13.07,20.24,25.01,4.27,22.37,16.06,12.05
194,0.04,0.25,0.21,0.25,0.25,5.74,3.33,5.77,3.12,14.9,10.2,9.1,23.01,22.75,13.55,6.49,21.65,17.29,20.53,20.08,4.5,15.95
195,0.33,0.15,0.05,0.29,0.18,2.07,3.33,6.09,1.72,17.23,5.12,18.05,21.0,7.45,19.09,12.06,24.4,7.55,21.06,10.38,9.61,27.0
196,0.0,0.12,0.37,0.44,0.07,7.22,6.67,9.39,5.05,15.66,15.8,25.72,13.26,9.21,11.15,9.2,35.41,21.9,1.21,6.2,13.07,22.21
197,0.27,0.47,0.16,0.06,0.04,4.91,1.0,7.96,3.47,27.19,6.62,15.85,9.49,6.08,5.64,29.13,4.78,17.73,17.45,12.83,21.22,25.99
198,0.07,0.34,0.11,0.11,0.37,4.21,1.0,1.13,8.86,20.09,12.88,18.89,11.02,8.06,10.77,18.29,17.89,15.02,20.86,22.55,4.22,19.46
199,0.04,0.31,0.33,0.01,0.31,1.56,10.0,9.96,2.95,20.73,20.22,17.97,10.49,16.06,12.28,2.25,15.13,17.48,29.94,17.84,10.25,9.36
200,0.14,0.03,0.31,0.25,0.27,2.61,6.67,2.16,9.61,19.02,0.66,7.81,25.4,7.8,19.58,19.73,20.91,25.18,3.07,19.94,14.16,16.74
201,0.01,0.29,0.32,0.28,0.1,3.83,1.0,3.38,3.77,8.07,20.34,2.97,18.08,5.41,17.37,27.76,33.99,15.52,20.53,1.32,24.95,3.69
202,0.06,0.18,0.27,0.19,0.3,8.29,6.67,1.25,9.16,3.77,16.11,22.61,22.31,3.61,14.65,16.94,8.03,35.66,28.85,3.98,6.05,17.43
203,0.37,0.11,0.27,0.12,0.13,8.66,6.67,9.91,4.5,8.49,3.46,20.53,9.62,11.6,40.68,5.62,15.61,1.2,22.62,19.65,16.81,24.11
204,0.15,0.25,0.31,0.08,0.21,1.4,6.67,7.68,3.21,22.55,10.07,17.6,13.46,4.05,20.2,12.07,8.87,16.82,18.96,9.58,4.44,41.33
205,0.1,0.2,0.67,0.02,0.01,7.77,6.67,2.76,9.23,24.28,11.74,5.43,2.02,4.94,25.06,26.53,7.82,31.36,2.59,14.2,20.32,23.71
206,0.2,0.26,0.24,0.15,0.15,8.64,3.33,4.79,5.43,13.36,11.64,8.26,21.22,16.47,16.07,12.98,36.98,16.15,12.23,10.43,6.58,17.63
207,0.14,0.13,0.29,0.26,0.18,2.81,10.0,4.73,1.5,15.89,18.91,20.98,16.56,7.3,15.74,4.62,17.15,25.4,19.5,10.84,18.27,8.84
208,0.05,0.28,0.23,0.05,0.39,4.87,10.0,9.39,6.64,10.57,27.07,8.54,8.67,15.74,1.31,28.1,3.79,21.29,10.2,5.63,21.01,38.08
209,0.21,0.01,0.12,0.34,0.32,1.38,6.67,4.89,5.67,12.4,6.85,18.65,9.15,23.56,16.99,12.4,4.51,22.12,20.24,11.27,26.4,15.46
210,0.09,0.05,0.29,0.3,0.27,7.32,6.67,5.56,7.73,24.92,3.25,13.49,23.53,7.68,2.32,24.81,18.33,13.7,13.25,28.55,5.77,20.4
211,0.21,0.2,0.31,0.07,0.21,3.27,1.0,4.06,2.18,17.72,0.76,11.37,27.99,26.67,3.31,12.18,27.68,24.56,4.79,10.16,29.89,2.92
212,0.09,0.28,0.16,0.45,0.02,3.19,1.0,4.08,4.54,0.11,18.25,16.58,17.15,9.77,14.9,23.24,0.84,15.33,25.87,21.56,15.91,20.49
213,0.21,0.06,0.32,0.34,0.07,7.0,3.33,2.79,8.08,0.19,5.64,0.19,23.94,18.89,35.66,15.49,20.37,17.85,43.61,1.42,9.08,7.67
214,0.08,0.22,0.13,0.35,0.22,7.83,6.67,5.13,3.48,38.35,6.89,3.34,21.16,11.09,7.45,11.72,23.33,26.12,19.21,11.13,17.93,2.28
215,0.04,0.27,0.28,0.1,0.31,1.49,10.0,2.58,3.99,19.62,17.31,21.74,18.87,17.89,3.23,1.34,27.57,18.93,2.34,13.75,23.73,13.68
216,0.1,0.35,0.13,0.36,0.06,3.01,6.67,8.15,9.92,15.36,22.56,6.91,9.56,22.23,10.73,12.65,13.25,9.76,23.1,15.24,19.24,19.41
217,0.08,0.2,0.23,0.32,0.17,2.86,3.33,9.48,6.52,19.86,18.86,14.02,4.75,8.88,17.85,15.78,17.08,16.01,15.68,36.03,9.58,5.62
218,0.04,0.33,0.04,0.36,0.23,4.25,6.67,4.03,7.05,20.17,11.7,9.66,22.93,22.47,0.48,12.59,7.36,25.22,15.6,3.24,36.92,11.66
219,0.23,0.06,0.29,0.18,0.24,8.97,6.67,8.47,6.23,10.48,15.67,12.45,18.12,15.28,9.88,18.12,17.16,3.13,15.41,11.45,22.96,29.89
220,0.09,0.19,0.22,0.34,0.16,5.65,3.33,8.71,3.58,6.47,21.8,26.59,4.12,3.79,13.27,23.96,7.02,0.92,21.28,28.72,14.49,27.57
221,0.2,0.09,0.15,0.12,0.44,6.54,3.33,3.85,9.68,11.84,19.61,15.22,18.93,16.26,1.17,16.97,21.97,16.18,21.41,20.29,15.75,4.4
222,0.38,0.13,0.1,0.25,0.14,6.48,10.0,1.52,7.84,13.12,17.89,15.79,12.35,16.87,7.94,16.04,10.4,30.92,10.16,39.52,6.68,2.32
223,0.22,0.26,0.11,0.2,0.21,7.31,6.67,8.66,8.72,21.2,17.61,11.57,18.96,1.44,14.06,15.16,17.47,17.74,20.68,22.23,19.88,2.0
224,0.43,0.03,0.2,0.11,0.23,9.41,10.0,6.05,9.76,17.84,16.64,12.69,10.41,9.04,19.67,13.71,6.35,22.43,27.46,23.16,1.69,18.91
225,0.05,0.09,0.14,0.64,0.08,3.03,10.0,7.7,4.5,5.8,10.86,26.66,8.06,10.28,18.16,20.18,13.43,7.76,14.15,33.05,27.85,3.76
226,0.28,0.27,0.17,0.01,0.27,9.86,6.67,3.79,7.38,1.57,19.15,7.02,25.46,28.15,14.55,4.1,11.4,4.01,21.09,20.58,22.93,19.99
227,0.51,0.14,0.09,0.15,0.11,8.99,3.33,8.85,3.05,19.42,16.42,13.97,12.33,15.64,4.72,17.5,18.94,14.57,17.43,20.18,12.82,16.06
228,0.15,0.25,0.27,0.17,0.16,2.92,6.67,1.22,3.2,3.56,13.23,2.86,12.58,21.72,10.16,35.89,31.5,4.88,17.77,20.51,20.1,5.24
229,0.14,0.25,0.28,0.12,0.21,4.79,6.67,4.37,6.44,8.94,16.1,14.02,16.49,14.43,9.43,20.59,7.78,15.01,2.15,27.19,28.22,19.65
230,0.12,0.25,0.11,0.27,0.25,7.93,3.33,6.49,6.32,10.3,20.48,5.42,27.67,2.62,31.45,2.06,29.4,29.13,6.86,8.06,16.07,10.48
231,0.11,0.18,0.31,0.32,0.08,1.35,10.0,8.6,4.46,20.65,16.29,4.76,7.38,25.73,2.14,23.05,24.43,23.8,15.66,17.06,6.26,12.79
232,0.43,0.11,0.11,0.24,0.11,2.11,6.67,9.51,2.04,29.22,18.54,28.85,4.11,3.4,15.23,0.65,13.51,3.61,12.26,31.56,23.16,15.9
233,0.1,0.04,0.27,0.29,0.3,4.27,3.33,8.2,1.73,17.41,16.43,10.55,13.34,8.85,25.61,7.81,21.19,8.12,24.83,22.65,2.95,20.26
234,0.3,0.31,0.23,0.11,0.05,5.57,3.33,9.81,9.53,20.81,21.36,11.58,26.13,1.15,12.7,6.27,3.64,16.26,1.99,25.34,46.5,6.27
235,0.04,0.28,0.3,0.27,0.11,6.62,6.67,2.61,8.94,7.66,7.4,15.03,31.02,32.81,3.34,2.74,19.74,11.44,21.69,27.14,8.03,11.96
236,0.35,0.04,0.47,0.07,0.07,2.39,6.67,2.88,7.37,22.89,2.09,19.06,10.26,12.02,18.23,15.45,20.49,11.02,19.82,18.74,23.5,6.43
237,0.11,0.29,0.19,0.15,0.26,5.9,3.33,3.32,2.77,7.99,0.38,31.72,21.8,13.14,18.36,6.61,30.36,5.48,11.86,8.52,27.29,16.49
238,0.19,0.27,0.18,0.04,0.32,8.06,3.33,4.91,4.74,13.6,29.37,0.67,27.47,5.61,0.87,22.41,43.07,15.49,24.02,5.49,1.14,10.79
239,0.18,0.26,0.23,0.13,0.2,7.64,3.33,5.95,9.4,11.86,5.58,10.21,21.62,9.43,30.67,10.63,0.46,18.06,33.46,13.22,10.99,23.81
240,0.26,0.07,0.52,0.08,0.07,9.6,10.0,3.56,6.72,2.89,13.8,14.78,4.24,22.5,23.83,17.96,24.02,5.74,24.05,4.99,22.38,18.82
241,0.1,0.31,0.1,0.23,0.26,5.58,6.67,8.0,7.79,17.63,10.2,17.67,15.6,10.47,7.93,20.5,21.78,9.79,3.8,22.52,28.32,13.79
242,0.23,0.29,0.15,0.13,0.2,2.52,3.33,6.71,8.5,16.0,2.95,22.21,3.77,16.72,23.52,14.83,26.98,9.62,0.79,26.47,19.39,16.75
243,0.33,0.0,0.2,0.31,0.16,2.0,6.67,4.06,7.89,18.78,34.3,4.69,4.17,15.88,12.33,9.85,20.21,8.81,21.16,17.4,6.12,26.3
244,0.28,0.11,0.23,0.05,0.33,4.85,6.67,3.23,1.58,11.01,19.82,19.41,15.96,16.67,4.46,12.67,8.29,30.99,7.55,18.83,12.28,22.06
245,0.18,0.37,0.01,0.35,0.09,8.98,6.67,2.3,1.75,8.3,11.52,14.12,18.47,19.93,17.95,9.71,0.89,41.76,2.95,0.69,10.56,43.15
246,0.28,0.35,0.05,0.09,0.23,6.58,3.33,1.3,5.75,8.84,15.86,21.97,2.13,10.77,21.75,18.68,19.38,18.72,11.98,11.76,19.6,18.56
247,0.06,0.24,0.26,0.16,0.28,3.29,3.33,8.74,5.72,14.22,15.74,5.74,20.34,28.26,15.24,0.46,13.92,4.79,15.51,14.88,31.29,19.61
248,0.15,0.19,0.24,0.21,0.21,8.3,1.0,5.66,8.1,4.06,21.2,24.43,27.9,14.71,1.23,6.47,1.65,37.07,17.69,25.54,6.45,11.6
249,0.2,0.28,0.07,0.33,0.12,5.0,6.67,3.73,9.86,6.75,14.1,7.32,22.2,14.35,10.57,24.71,3.25,6.44,22.04,16.86,25.78,25.63
250,0.37,0.13,0.16,0.14,0.2,2.96,1.0,5.92,5.42,0.2,18.12,6.58,25.7,13.95,23.01,12.44,16.05,15.3,10.14,24.56,25.39,8.56
251,0.07,0.23,0.19,0.24,0.27,9.2,10.0,5.92,8.95,22.54,18.09,13.18,25.66,12.49,1.27,6.77,11.86,2.27,28.18,24.6,30.53,2.56
252,0.28,0.25,0.14,0.17,0.16,4.33,6.67,7.85,6.14,2.58,4.27,25.88,26.81,25.79,10.83,3.84,2.61,0.06,28.15,18.9,24.78,25.5
253,0.32,0.26,0.09,0.06,0.27,3.31,10.0,3.57,2.65,14.3,5.03,7.83,31.83,13.93,9.64,17.44,6.65,10.19,20.99,25.76,23.95,12.46
254,0.01,0.0,0.42,0.34,0.23,7.69,1.0,9.66,2.3,19.89,13.41,18.75,10.34,10.68,21.19,5.74,17.92,2.05,13.78,10.9,26.03,29.32
255,0.15,0.31,0.01,0.31,0.22,6.56,10.0,2.57,2.31,19.47,24.78,11.86,4.01,22.15,12.06,5.67,9.32,2.23,19.5,13.0,20.59,35.36
256,0.2,0.39,0.15,0.05,0.21,1.71,1.0,2.11,9.53,12.41,21.24,19.59,20.6,8.94,11.67,5.55,26.29,33.25,13.15,19.9,4.93,2.48
257,0.21,0.05,0.21,0.28,0.25,2.37,10.0,2.83,7.68,2.96,10.98,9.16,21.08,6.15,26.28,23.39,24.88,18.54,3.47,23.66,7.41,22.04
258,0.3,0.22,0.14,0.26,0.08,4.41,3.33,2.55,1.74,6.84,27.07,22.31,16.21,16.22,1.99,9.36,29.4,19.75,14.03,2.79,13.48,20.55
259,0.2,0.09,0.34,0.08,0.29,3.73,3.33,9.54,4.63,11.7,21.46,6.13,11.57,7.01,10.06,32.07,12.22,29.03,0.67,18.87,22.88,16.33
260,0.11,0.25,0.26,0.08,0.3,7.36,10.0,7.55,1.59,24.15,19.44,21.05,12.46,18.86,3.57,0.47,15.81,22.3,7.78,6.95,20.27,26.89
261,0.09,0.04,0.39,0.35,0.13,4.24,3.33,9.44,2.95,18.81,10.93,2.5,16.21,28.88,6.19,16.48,25.67,8.21,12.12,20.03,13.65,20.32
262,0.23,0.07,0.11,0.29,0.3,9.34,10.0,6.58,7.71,22.84,1.62,12.84,21.74,19.36,18.45,3.15,25.48,15.74,6.81,28.57,8.62,14.78
263,0.18,0.12,0.09,0.26,0.35,1.36,1.0,6.25,5.11,26.08,3.29,13.84,1.1,28.02,22.96,4.71,6.85,24.34,15.27,9.52,25.08,18.94
264,0.26,0.11,0.22,0.23,0.18,2.41,6.67,2.65,2.06,15.36,5.82,16.46,15.59,14.53,19.2,13.04,15.3,3.98,34.87,23.84,10.35,11.66
265,0.08,0.4,0.19,0.16,0.17,2.35,1.0,5.07,2.85,3.36,0.95,14.85,21.8,15.24,21.31,22.49,9.41,21.92,30.58,3.73,25.17,9.19
266,0.17,0.19,0.12,0.17,0.35,6.44,1.0,5.2,7.12,26.71,4.33,15.44,10.86,11.33,19.36,11.97,22.17,19.04,10.28,18.06,4.67,25.78
267,0.35,0.0,0.28,0.35,0.02,1.07,3.33,2.65,4.23,31.18,12.21,29.15,9.22,2.99,8.33,6.92,27.14,10.97,4.29,23.84,15.8,17.96
268,0.14,0.19,0.12,0.31,0.24,9.03,1.0,3.86,2.92,14.79,7.59,20.0,19.29,14.93,10.51,12.89,3.76,25.72,23.3,17.31,24.57,5.34
269,0.2,0.2,0.28,0.18,0.14,3.99,6.67,9.94,6.74,13.45,16.17,15.34,13.65,5.08,8.72,27.59,11.03,1.03,18.59,27.88,5.97,35.5
270,0.49,0.22,0.16,0.13,0.0,6.61,3.33,6.64,4.17,18.07,8.24,17.84,3.64,18.86,15.64,17.71,13.01,17.92,18.54,19.27,16.92,14.34
271,0.21,0.16,0.47,0.14,0.02,7.5,3.33,3.71,9.12,20.89,24.77,27.22,2.18,5.12,9.29,10.53,30.16,6.81,28.64,3.71,25.0,5.68
272,0.02,0.15,0.25,0.28,0.3,7.2,6.67,5.92,1.6,2.92,16.74,22.31,24.14,4.28,3.16,26.45,16.81,7.57,43.99,17.21,14.28,0.14
273,0.06,0.05,0.2,0.33,0.36,6.37,10.0,1.08,1.06,9.53,15.38,4.36,32.62,2.95,31.63,3.53,30.09,6.66,1.75,31.81,28.99,0.7
274,0.09,0.18,0.13,0.33,0.27,2.66,3.33,6.8,2.76,17.58,23.52,24.33,6.86,20.22,4.89,2.6,24.36,35.07,18.66,9.75,6.06,6.1
275,0.32,0.26,0.24,0.15,0.03,6.7,1.0,4.18,8.55,2.82,16.02,16.51,13.79,14.16,16.22,20.48,0.72,4.29,19.1,18.05,30.04,27.8
276,0.06,0.17,0.42,0.09,0.26,2.67,10.0,4.06,3.17,16.73,14.0,18.56,10.94,12.94,21.12,5.71,17.69,18.98,18.16,18.02,17.68,9.47
277,0.27,0.24,0.01,0.25,0.23,1.81,3.33,4.04,9.65,6.7,13.51,21.7,18.28,9.58,21.52,8.71,15.82,13.64,6.78,38.03,22.73,3.0
278,0.33,0.03,0.25,0.18,0.21,6.14,3.33,7.29,9.75,3.39,3.35,17.69,21.16,21.06,9.9,23.45,17.67,6.51,2.65,20.38,35.62,17.17
279,0.35,0.36,0.11,0.14,0.04,2.53,10.0,7.0,7.6,0.27,2.16,21.89,14.53,34.04,21.89,5.22,19.0,18.19,15.5,5.65,13.4,28.26
280,0.25,0.16,0.31,0.01,0.27,3.15,10.0,2.31,9.79,4.14,30.38,2.23,11.24,25.99,25.17,0.85,14.96,24.82,7.03,19.81,6.02,27.36
281,0.23,0.19,0.18,0.14,0.26,3.81,6.67,2.72,8.0,8.91,3.42,20.25,21.49,12.47,14.74,18.72,24.64,22.55,18.27,9.29,11.48,13.77
282,0.06,0.33,0.37,0.07,0.17,4.6,1.0,4.78,8.39,26.49,1.74,2.86,24.94,20.22,13.36,10.39,21.34,27.44,16.81,18.76,10.54,5.11
283,0.34,0.19,0.06,0.26,0.15,6.65,10.0,6.75,9.27,1.63,1.07,6.18,34.37,1.53,26.37,28.85,22.33,17.99,16.84,21.05,18.2,3.59
284,0.13,0.32,0.11,0.32,0.12,7.31,3.33,2.48,7.65,7.8,19.39,8.62,12.77,29.56,3.51,18.35,17.4,2.28,13.78,32.2,9.0,25.34
285,0.05,0.06,0.46,0.32,0.11,5.43,10.0,8.39,2.98,4.23,0.06,21.62,11.45,16.71,22.45,23.48,15.46,16.62,14.01,26.88,14.48,12.55
286,0.28,0.33,0.18,0.09,0.12,8.62,3.33,3.56,4.1,8.68,4.05,28.74,4.46,12.66,18.69,22.72,30.73,4.69,17.67,10.62,12.73,23.56
287,0.29,0.23,0.17,0.05,0.26,6.21,3.33,4.8,9.59,0.82,13.15,11.13,28.44,16.34,20.39,9.73,6.3,13.94,24.39,22.06,10.91,22.4
288,0.36,0.38,0.12,0.08,0.06,8.57,6.67,3.96,5.88,18.35,4.6,10.96,1.56,15.38,23.93,25.22,21.29,0.76,22.92,10.74,18.09,26.2
289,0.27,0.07,0.19,0.28,0.19,6.83,6.67,9.58,2.07,30.29,17.43,18.85,6.62,12.11,0.27,14.43,4.44,26.19,7.46,29.18,5.96,26.77
290,0.24,0.16,0.22,0.18,0.2,2.62,3.33,7.7,2.57,18.28,22.81,1.78,1.56,25.74,14.15,15.68,3.96,35.15,9.61,36.48,8.71,6.09
291,0.22,0.2,0.17,0.39,0.02,6.6,6.67,7.23,1.23,2.35,27.37,16.52,16.21,2.58,23.2,11.77,7.79,25.45,24.84,20.39,12.6,8.93
292,0.21,0.25,0.05,0.29,0.2,2.39,10.0,5.57,3.09,25.66,26.68,5.56,7.19,8.18,6.4,20.33,27.56,21.44,17.07,4.72,9.01,20.2
293,0.23,0.28,0.11,0.07,0.31,4.94,3.33,3.53,9.55,5.12,23.22,16.48,21.03,21.67,3.98,8.5,21.44,32.94,12.33,0.03,26.86,6.4
294,0.15,0.31,0.1,0.09,0.35,6.61,6.67,4.4,8.66,4.14,16.7,22.28,12.46,8.15,12.74,23.53,4.51,30.92,26.39,27.16,4.39,6.63
295,0.21,0.2,0.25,0.25,0.09,5.69,3.33,8.28,4.53,17.72,19.91,16.89,14.39,9.45,8.25,13.39,12.15,5.74,20.09,18.38,22.01,21.63
296,0.18,0.1,0.31,0.24,0.17,7.56,10.0,5.87,4.05,2.19,21.3,16.46,19.35,18.55,16.8,5.35,2.05,28.6,14.6,25.5,21.89,7.36
297,0.16,0.13,0.39,0.27,0.05,4.34,10.0,9.18,8.3,7.5,0.34,25.38,15.43,24.96,22.45,3.94,16.63,24.63,28.21,14.29,11.08,5.16
298,0.02,0.18,0.21,0.26,0.33,3.26,6.67,9.79,8.06,13.37,16.44,4.16,21.51,23.32,17.05,4.15,3.74,22.49,14.11,23.59,11.7,24.37
299,0.11,0.21,0.09,0.49,0.1,1.97,10.0,1.42,5.68,9.12,26.26,6.23,31.6,0.46,22.21,4.12,21.21,17.99,2.38,13.59,19.81,25.02
300,0.17,0.1,0.26,0.23,0.24,1.11,1.0,3.8,9.38,7.88,28.19,3.94,11.72,25.79,22.17,0.31,27.11,11.93,26.64,15.31,7.51,11.5
301,0.32,0.34,0.12,0.15,0.07,7.9,10.0,4.49,4.89,12.48,24.56,8.32,24.4,4.66,0.4,25.18,2.94,23.75,9.48,23.01,22.49,18.33
