user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_stocks,product_preference_etfs,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference
150,0.02,0.27,0.08,0.4,0.23,8.61,3.33,3.46,5.89,15.41,15.0,6.97,17.19,20.76,11.26,3.17,10.24,28.73,19.97,9.87,20.67,20.76
151,0.33,0.19,0.24,0.17,0.07,7.24,1.0,8.84,4.58,1.6,25.57,12.55,12.06,8.04,5.55,28.99,5.64,13.08,36.19,27.68,2.57,20.48
152,0.18,0.25,0.36,0.0,0.21,8.62,10.0,5.01,8.94,20.13,8.3,14.81,10.97,16.44,18.15,8.16,3.04,35.91,11.11,0.27,28.87,23.84
153,0.2,0.22,0.34,0.12,0.12,8.45,10.0,8.85,5.62,16.86,17.92,9.69,17.19,13.99,10.17,14.1,0.08,0.4,20.58,28.81,23.27,26.94
154,0.03,0.27,0.2,0.21,0.29,1.46,3.33,9.82,7.29,15.92,7.48,10.27,5.28,7.48,14.28,19.45,19.84,16.28,23.09,26.08,13.74,20.81
155,0.35,0.07,0.27,0.23,0.08,8.43,3.33,9.83,1.75,0.4,23.98,13.44,26.2,1.17,24.04,10.67,0.1,8.4,30.67,41.42,0.98,18.53
156,0.1,0.31,0.3,0.28,0.01,6.13,6.67,9.51,3.01,7.81,20.17,12.13,19.66,6.6,19.95,7.54,6.14,4.41,22.13,17.89,26.0,29.57
157,0.06,0.16,0.46,0.28,0.04,4.33,3.33,7.91,3.47,22.0,2.02,15.33,13.36,15.57,15.53,15.53,0.66,29.75,29.25,0.95,10.71,29.34
158,0.07,0.21,0.13,0.18,0.41,2.67,6.67,6.32,7.42,12.4,1.4,2.9,10.66,22.84,23.92,10.17,15.71,27.87,25.32,34.5,4.93,7.38
159,0.12,0.27,0.01,0.21,0.39,1.44,3.33,6.36,4.3,5.02,7.55,4.39,6.79,26.78,11.55,12.31,25.61,25.38,27.12,0.7,11.49,35.31
160,0.22,0.36,0.17,0.13,0.12,7.64,6.67,4.95,9.42,17.79,16.86,9.22,11.11,10.05,9.15,21.38,4.44,21.66,29.85,33.27,4.98,10.24
161,0.27,0.34,0.2,0.07,0.12,1.03,3.33,7.69,9.88,20.34,10.79,20.53,4.39,8.33,20.31,2.3,13.01,22.24,28.67,6.7,9.12,33.27
162,0.15,0.03,0.31,0.24,0.27,4.9,10.0,9.39,7.91,11.99,13.88,9.27,16.27,3.72,17.68,12.09,15.1,24.06,11.46,25.54,13.49,25.45
163,0.23,0.06,0.21,0.3,0.2,7.66,1.0,2.66,3.0,2.22,1.26,9.35,11.04,11.81,25.06,14.47,24.79,24.75,28.2,31.63,8.82,6.6
164,0.01,0.33,0.06,0.27,0.33,1.36,1.0,9.06,6.91,27.08,10.92,15.29,10.87,26.48,1.06,0.52,7.78,32.7,26.13,12.31,18.55,10.31
165,0.01,0.63,0.02,0.23,0.11,4.14,6.67,6.61,9.47,27.38,5.99,6.28,17.61,16.27,10.69,10.75,5.03,27.22,23.72,13.5,5.4,30.16
166,0.22,0.06,0.27,0.15,0.3,5.25,1.0,3.59,8.36,23.27,10.89,23.53,9.13,7.53,18.92,3.41,3.32,13.7,40.74,20.76,4.68,20.12
167,0.2,0.24,0.22,0.27,0.07,5.9,6.67,7.68,1.99,13.39,15.9,20.53,1.89,20.9,3.63,1.63,22.13,31.99,31.65,17.92,16.31,2.13
168,0.13,0.26,0.27,0.2,0.14,5.41,1.0,7.49,8.15,2.13,13.15,26.34,6.86,11.77,12.51,5.54,21.7,12.36,34.59,32.48,7.15,13.42
169,0.17,0.12,0.2,0.35,0.16,9.74,10.0,7.36,2.85,0.2,7.53,17.58,16.45,16.18,17.8,2.83,21.43,10.74,25.66,41.11,18.68,3.81
170,0.02,0.34,0.2,0.3,0.14,7.45,1.0,3.7,6.36,4.93,7.29,24.09,4.95,23.7,26.98,4.48,3.58,16.46,7.4,3.36,35.6,37.18
171,0.09,0.29,0.03,0.47,0.12,5.79,3.33,7.71,7.09,13.37,1.1,14.97,19.33,25.96,8.81,5.68,10.78,11.91,20.39,17.12,25.83,24.75
172,0.2,0.2,0.24,0.22,0.14,9.03,6.67,5.26,2.13,15.21,2.07,21.06,13.2,10.5,12.2,15.17,10.59,22.33,20.06,32.06,15.19,10.36
173,0.03,0.0,0.12,0.6,0.25,6.16,3.33,4.13,6.29,3.3,15.31,16.57,1.69,10.34,17.41,16.51,18.87,32.83,22.94,28.54,6.09,9.6
174,0.25,0.3,0.11,0.25,0.09,1.28,3.33,7.62,2.52,13.9,13.09,11.55,19.46,6.97,5.58,12.03,17.42,6.7,14.02,38.1,40.08,1.1
175,0.23,0.04,0.19,0.43,0.11,7.16,6.67,7.7,3.14,20.86,11.97,1.69,21.96,2.94,25.07,6.56,8.95,11.33,8.29,16.93,32.22,31.23
176,0.18,0.13,0.24,0.26,0.19,9.44,10.0,8.72,9.73,37.15,3.84,7.74,0.77,3.4,23.83,4.61,18.66,29.8,15.13,22.15,7.38,25.54
177,0.43,0.41,0.02,0.01,0.13,9.82,6.67,4.35,3.9,8.27,12.4,13.4,16.53,11.79,16.38,17.55,3.68,23.74,37.42,20.69,7.64,10.51
178,0.31,0.24,0.15,0.16,0.14,9.64,1.0,6.61,6.09,20.75,16.59,12.87,1.28,12.19,7.38,20.38,8.56,26.99,26.98,13.93,12.9,19.2
179,0.28,0.0,0.21,0.31,0.2,1.67,1.0,6.2,4.08,18.77,0.78,15.76,14.76,10.06,1.43,26.35,12.09,20.57,2.47,26.9,16.17,33.89
180,0.28,0.18,0.2,0.09,0.25,8.8,3.33,7.03,4.69,19.41,25.49,0.51,10.4,14.36,13.98,0.89,14.96,19.33,5.45,8.24,37.9,29.08
181,0.46,0.16,0.14,0.0,0.24,3.45,3.33,3.01,3.9,12.87,19.68,17.73,11.45,10.03,14.57,4.77,8.9,1.08,37.01,41.41,1.89,18.61
182,0.1,0.28,0.23,0.19,0.2,3.56,10.0,1.16,7.05,14.86,12.81,9.37,5.93,23.23,10.21,18.17,5.42,31.83,43.84,10.3,4.79,9.24
183,0.23,0.34,0.29,0.07,0.07,1.57,10.0,1.01,6.05,2.92,29.82,25.45,4.21,5.2,28.68,3.48,0.24,6.83,23.82,15.85,31.95,21.55
184,0.35,0.11,0.26,0.17,0.11,5.37,3.33,7.18,4.41,10.37,34.9,14.12,10.84,2.33,12.18,3.98,11.28,4.27,8.1,37.54,28.27,21.82
185,0.12,0.33,0.14,0.12,0.29,4.95,6.67,8.49,7.67,29.2,21.03,2.45,9.05,13.39,11.45,6.71,6.72,18.4,10.97,11.85,27.13,31.65
186,0.13,0.33,0.04,0.21,0.29,6.91,6.67,6.42,6.84,27.07,7.0,5.26,1.1,13.48,10.97,17.17,17.95,16.81,15.39,11.64,21.32,34.84
187,0.24,0.27,0.08,0.11,0.3,1.35,10.0,1.71,9.62,14.83,19.81,6.85,4.83,6.43,21.45,17.57,8.23,2.13,22.23,17.55,31.18,26.91
188,0.05,0.09,0.36,0.33,0.17,8.18,10.0,5.09,7.15,10.5,10.96,20.88,12.3,13.05,22.13,3.97,6.21,1.78,25.5,28.33,30.09,14.3
189,0.26,0.31,0.04,0.03,0.36,6.68,3.33,7.83,9.34,10.93,23.7,9.67,8.28,5.82,7.52,23.16,10.92,46.9,26.62,7.54,3.71,15.23
190,0.26,0.22,0.23,0.23,0.06,4.03,10.0,2.88,3.37,17.16,11.4,18.63,7.45,20.45,1.66,18.15,5.1,7.34,27.11,26.22,24.57,14.76
191,0.06,0.17,0.24,0.29,0.24,6.88,1.0,3.26,3.93,3.39,17.4,2.88,14.42,19.61,1.26,22.4,18.64,16.17,3.79,7.86,13.68,58.5
192,0.18,0.12,0.1,0.25,0.35,6.62,10.0,8.39,3.32,0.18,4.42,3.09,26.5,14.76,7.38,37.51,6.16,1.06,0.72,9.24,43.22,45.76
193,0.11,0.39,0.17,0.32,0.01,5.59,10.0,1.58,4.42,12.8,11.87,15.83,11.16,2.12,19.41,21.91,4.9,25.45,2.3,23.66,45.78,2.81
194,0.26,0.13,0.25,0.12,0.24,4.68,6.67,3.17,9.17,24.22,3.81,8.02,16.44,2.53,28.93,11.1,4.95,27.84,1.6,7.69,31.73,31.14
195,0.21,0.23,0.15,0.17,0.24,5.49,3.33,2.9,7.08,5.18,19.75,3.17,22.44,7.31,14.36,16.21,11.58,20.73,19.42,8.41,17.35,34.09
196,0.32,0.16,0.11,0.06,0.35,6.89,3.33,4.48,8.02,0.63,13.05,18.97,20.51,7.3,13.04,10.52,15.98,21.96,14.69,20.51,16.88,25.96
197,0.08,0.25,0.29,0.22,0.16,2.05,3.33,3.65,6.74,14.22,18.08,11.96,0.74,14.39,17.82,4.98,17.81,9.44,15.29,22.02,13.89,39.36
198,0.04,0.22,0.38,0.19,0.17,8.95,6.67,9.59,7.11,14.65,23.68,16.71,19.16,13.4,6.38,1.18,4.84,21.31,31.13,1.9,36.1,9.56
199,0.2,0.31,0.03,0.29,0.17,1.57,6.67,5.74,3.37,22.06,9.74,20.32,9.5,5.55,8.4,12.37,12.06,7.51,34.19,1.06,36.31,20.93
200,0.32,0.37,0.24,0.02,0.05,6.34,10.0,3.17,4.16,3.67,24.0,16.79,6.7,17.29,8.04,11.14,12.37,2.52,24.15,2.17,43.85,27.31
201,0.2,0.21,0.17,0.32,0.1,2.9,3.33,1.57,9.02,3.86,8.05,18.32,15.13,12.83,16.01,6.11,19.69,13.25,12.75,17.83,27.07,29.1
202,0.06,0.47,0.15,0.21,0.11,7.11,10.0,6.98,3.36,3.35,22.28,10.94,1.42,26.45,19.37,3.71,12.48,33.86,19.35,22.53,17.69,6.57
203,0.11,0.21,0.23,0.25,0.2,2.86,3.33,6.85,4.31,19.34,13.5,3.69,15.09,3.24,16.37,18.15,10.62,6.96,24.29,6.49,30.91,31.35
204,0.06,0.12,0.27,0.27,0.28,5.32,10.0,5.35,5.23,16.74,13.25,1.22,11.07,16.24,8.47,16.0,17.01,6.26,14.6,35.85,24.97,18.32
205,0.18,0.18,0.23,0.15,0.26,9.53,6.67,2.35,7.81,16.94,9.22,10.68,23.27,0.45,21.0,10.28,8.16,20.26,13.44,6.91,27.78,31.61
206,0.14,0.09,0.75,0.02,0.0,5.69,1.0,9.46,3.49,14.94,15.59,13.17,15.62,11.55,14.96,6.06,8.11,22.74,27.61,2.38,29.64,17.63
207,0.37,0.02,0.05,0.5,0.06,6.36,1.0,3.52,9.29,6.76,7.57,11.42,5.93,19.49,5.77,21.39,21.67,5.6,35.47,23.83,6.49,28.61
208,0.04,0.34,0.25,0.21,0.16,2.89,10.0,5.5,1.22,18.84,8.44,17.03,21.65,2.01,2.72,22.37,6.94,4.69,30.79,20.0,21.41,23.11
209,0.28,0.03,0.28,0.2,0.21,1.99,1.0,7.94,9.09,10.29,17.07,12.67,20.15,15.39,15.77,5.03,3.63,19.41,20.45,24.22,13.79,22.13
210,0.07,0.44,0.04,0.36,0.09,1.13,10.0,7.83,4.52,2.69,1.47,18.42,23.49,20.43,10.66,13.42,9.42,16.07,21.9,22.08,23.52,16.43
211,0.22,0.16,0.31,0.27,0.04,9.13,1.0,7.01,9.59,0.39,6.3,2.44,9.9,21.44,5.17,26.5,27.86,32.16,19.69,32.85,1.26,14.04
212,0.08,0.09,0.18,0.41,0.24,2.87,10.0,7.79,4.05,11.14,1.1,19.84,8.27,14.43,21.73,8.85,14.64,19.1,28.8,17.06,2.51,32.53
213,0.42,0.06,0.07,0.2,0.25,4.28,1.0,9.83,7.37,6.46,11.43,12.83,13.29,7.67,16.79,13.66,17.87,2.55,36.02,16.53,28.3,16.6
214,0.28,0.01,0.4,0.29,0.02,6.14,1.0,3.98,2.17,11.42,8.1,3.37,13.31,22.31,8.4,12.49,20.6,29.91,33.72,6.07,16.08,14.22
215,0.18,0.19,0.35,0.21,0.07,2.86,6.67,5.45,5.86,14.02,19.32,14.35,9.37,10.34,7.59,6.52,18.49,27.97,13.3,2.41,22.34,33.98
216,0.17,0.02,0.36,0.39,0.06,7.22,3.33,7.07,4.6,6.26,13.45,28.5,12.88,1.09,26.26,2.31,9.25,24.99,24.95,10.93,37.06,2.07
217,0.05,0.01,0.29,0.28,0.37,1.75,3.33,3.82,3.95,17.01,7.21,15.58,16.37,17.31,15.06,7.6,3.86,12.25,21.89,36.92,4.23,24.71
218,0.13,0.34,0.04,0.19,0.3,6.3,10.0,1.06,9.52,1.49,26.7,1.62,4.65,10.43,14.82,18.68,21.61,29.69,4.59,10.39,23.73,31.6
219,0.07,0.25,0.32,0.3,0.06,2.8,10.0,4.32,7.88,16.36,0.55,2.34,6.89,21.24,22.21,23.37,7.04,3.58,26.86,21.79,22.07,25.7
220,0.27,0.05,0.43,0.18,0.07,6.75,1.0,3.87,4.47,20.0,13.66,18.62,0.21,5.51,2.42,19.62,19.96,13.59,23.8,9.13,30.52,22.96
221,0.1,0.2,0.28,0.28,0.14,4.48,10.0,3.0,8.14,14.94,6.43,19.5,20.54,2.45,9.59,16.13,10.42,7.55,14.7,1.92,25.36,50.47
222,0.3,0.27,0.12,0.29,0.02,5.22,6.67,7.06,3.11,22.68,20.82,17.77,1.99,20.2,4.37,0.11,12.06,31.1,22.3,17.29,28.06,1.25
223,0.17,0.15,0.17,0.26,0.25,8.02,1.0,6.25,5.39,4.61,8.22,18.69,1.1,7.66,23.16,20.69,15.87,16.42,26.86,17.52,19.27,19.93
224,0.22,0.24,0.3,0.02,0.22,1.68,1.0,5.37,3.75,9.18,11.15,20.39,23.51,4.34,12.21,1.66,17.56,27.99,2.79,50.46,5.5,13.26
225,0.21,0.07,0.08,0.03,0.61,4.46,6.67,9.8,4.91,8.85,15.95,13.2,16.95,7.53,9.95,17.07,10.5,28.32,27.3,13.57,17.96,12.85
226,0.39,0.08,0.02,0.29,0.22,8.08,3.33,4.07,7.82,20.57,22.29,6.0,13.93,3.23,18.35,3.04,12.59,25.17,29.55,15.51,22.45,7.32
227,0.22,0.23,0.34,0.09,0.12,6.71,10.0,6.19,2.27,2.03,16.9,6.41,1.74,6.83,21.83,24.23,20.03,8.02,14.67,10.68,30.31,36.32
228,0.41,0.24,0.01,0.01,0.33,5.03,10.0,7.03,4.36,4.66,4.02,9.67,20.25,3.03,5.68,26.63,26.06,46.88,0.97,14.22,6.21,31.72
229,0.35,0.25,0.07,0.15,0.18,3.81,6.67,5.07,5.21,16.59,4.55,11.03,9.32,19.19,18.55,4.16,16.61,26.52,2.05,8.81,32.02,30.6
230,0.14,0.22,0.2,0.19,0.25,4.66,1.0,5.55,3.25,12.58,16.59,10.14,11.44,21.52,8.47,17.16,2.1,20.54,11.45,12.69,52.45,2.87
231,0.05,0.14,0.15,0.33,0.33,6.88,3.33,5.38,7.08,19.88,27.78,16.76,12.11,0.56,8.95,12.66,1.3,30.06,27.82,15.95,13.32,12.85
232,0.2,0.05,0.01,0.29,0.45,7.33,3.33,5.82,5.68,3.91,2.17,18.66,17.96,19.25,22.0,6.33,9.72,28.32,6.8,17.56,31.64,15.68
233,0.36,0.28,0.24,0.02,0.1,2.03,10.0,8.86,1.75,5.75,11.6,14.65,14.65,12.94,5.17,20.33,14.91,12.95,31.75,17.0,16.55,21.75
234,0.34,0.08,0.22,0.16,0.2,7.59,3.33,7.19,1.93,9.47,0.26,12.82,25.71,3.21,9.84,9.08,29.61,35.74,11.85,14.76,28.09,9.56
235,0.01,0.18,0.22,0.37,0.22,6.81,10.0,1.44,4.24,15.78,13.98,2.79,18.14,15.86,1.71,14.14,17.6,18.07,8.14,25.81,22.31,25.67
236,0.09,0.3,0.23,0.27,0.11,2.04,3.33,6.82,3.16,8.8,6.44,20.79,9.99,8.14,19.85,6.99,19.0,18.27,22.69,12.32,22.39,24.33
237,0.17,0.02,0.28,0.4,0.13,2.25,6.67,5.02,1.7,19.65,18.06,13.51,13.35,5.01,20.3,8.69,1.43,23.94,23.38,9.12,33.9,9.66
238,0.23,0.28,0.01,0.32,0.16,2.51,1.0,8.73,7.73,20.9,13.5,12.64,7.31,1.69,16.77,6.71,20.48,28.47,24.59,20.62,3.1,23.22
239,0.19,0.27,0.4,0.09,0.05,5.29,3.33,6.67,6.61,10.56,15.2,9.89,14.91,7.07,3.24,19.35,19.78,30.22,23.93,4.93,22.61,18.31
240,0.13,0.12,0.13,0.23,0.39,4.55,10.0,8.68,3.11,17.77,3.93,12.68,3.21,8.35,25.23,13.02,15.81,16.65,19.54,16.2,40.67,6.94
241,0.09,0.23,0.15,0.32,0.21,2.86,3.33,6.08,7.87,0.88,18.48,12.55,9.06,21.34,15.82,15.82,6.05,23.66,1.62,31.08,23.75,19.89
242,0.14,0.33,0.08,0.18,0.27,7.73,1.0,6.87,7.59,15.89,17.87,5.55,12.84,11.01,10.92,4.53,21.39,19.15,43.13,3.5,21.12,13.1
243,0.12,0.13,0.08,0.36,0.31,7.17,10.0,7.58,7.31,18.65,11.72,20.42,7.83,9.75,18.6,10.13,2.9,19.38,30.26,17.97,16.25,16.14
244,0.17,0.45,0.12,0.03,0.23,8.24,6.67,1.96,5.52,22.18,9.4,10.5,8.63,6.49,15.96,22.88,3.96,6.36,5.31,31.81,31.54,24.98
245,0.2,0.08,0.29,0.4,0.03,5.4,1.0,1.61,7.56,15.08,12.73,9.08,16.84,4.62,23.06,6.53,12.06,18.22,9.29,26.52,18.01,27.96
246,0.04,0.19,0.11,0.36,0.3,9.71,3.33,9.04,5.97,11.93,18.69,1.49,0.19,19.22,10.97,16.55,20.96,22.7,18.4,23.75,6.28,28.87
247,0.62,0.03,0.09,0.03,0.23,3.14,1.0,6.69,8.89,17.81,22.48,12.1,0.52,6.14,16.42,15.99,8.54,34.48,3.3,28.32,21.57,12.33
248,0.13,0.36,0.37,0.04,0.1,9.37,3.33,5.16,8.74,1.89,14.41,13.2,0.65,13.18,19.18,21.65,15.84,29.31,15.94,22.12,14.05,18.58
249,0.2,0.17,0.21,0.25,0.17,4.59,3.33,9.26,9.91,4.67,9.59,18.94,9.98,16.49,20.52,17.77,2.04,30.98,1.7,1.07,31.13,35.12
250,0.07,0.23,0.14,0.29,0.27,1.33,6.67,2.93,3.22,2.58,17.91,6.25,13.39,9.3,19.47,10.17,20.93,23.05,4.67,25.9,25.78,20.6
251,0.27,0.14,0.23,0.06,0.3,5.41,1.0,8.37,2.27,4.89,4.13,5.91,21.17,20.47,10.63,18.27,14.53,26.53,23.34,15.88,11.87,22.38
252,0.14,0.14,0.04,0.46,0.22,9.76,3.33,1.08,2.21,22.79,8.52,11.44,7.01,0.71,14.91,15.56,19.06,47.06,1.67,32.55,11.81,6.91
253,0.26,0.26,0.28,0.04,0.16,1.59,6.67,1.86,1.18,17.76,17.04,17.7,13.0,3.27,8.23,10.79,12.21,24.57,34.24,2.13,31.63,7.43
254,0.01,0.14,0.21,0.36,0.28,5.29,6.67,6.18,4.26,4.54,2.67,5.95,11.8,8.87,21.48,18.7,25.99,8.92,28.88,28.57,29.0,4.63
255,0.24,0.22,0.21,0.23,0.1,1.54,1.0,4.26,5.61,19.31,23.17,9.96,1.27,15.54,14.74,3.27,12.74,26.91,21.69,6.33,25.69,19.38
256,0.16,0.3,0.1,0.27,0.17,9.82,3.33,4.04,7.87,6.35,2.62,8.78,4.49,2.94,25.31,24.77,24.74,18.58,22.61,25.0,15.87,17.94
257,0.26,0.23,0.08,0.07,0.36,4.16,10.0,9.54,6.87,10.07,5.37,15.34,11.58,16.08,15.16,16.01,10.39,17.69,35.47,3.3,22.58,20.96
258,0.24,0.28,0.1,0.23,0.15,1.05,1.0,5.97,4.26,7.91,3.65,12.91,27.1,14.48,17.69,10.58,5.68,16.57,22.85,17.46,18.03,25.09
259,0.36,0.0,0.18,0.29,0.17,9.6,6.67,2.06,2.91,2.78,13.58,6.86,6.38,16.39,5.33,23.66,25.02,15.35,11.78,7.3,33.65,31.92
260,0.2,0.18,0.28,0.32,0.02,3.8,3.33,1.29,9.96,9.66,0.56,13.94,16.49,17.56,14.83,17.64,9.32,21.47,28.19,16.43,30.04,3.87
261,0.36,0.11,0.05,0.14,0.34,6.02,1.0,2.64,5.47,25.64,1.49,1.52,18.78,24.93,0.72,4.45,22.47,24.96,7.36,38.09,4.86,24.73
262,0.14,0.13,0.27,0.17,0.29,2.38,10.0,9.25,2.49,0.59,18.5,23.16,3.12,3.27,20.51,17.96,12.89,18.54,4.23,5.67,32.39,39.17
263,0.15,0.32,0.23,0.01,0.29,6.15,10.0,7.38,7.85,13.4,1.71,8.63,21.37,13.62,9.38,11.83,20.06,2.0,21.7,34.51,4.2,37.59
264,0.16,0.22,0.19,0.13,0.3,5.96,10.0,5.4,7.35,16.67,1.66,21.67,1.27,14.72,11.11,20.63,12.27,22.37,17.23,1.41,21.94,37.05
265,0.44,0.07,0.04,0.21,0.24,8.56,1.0,7.53,4.3,2.32,28.64,30.8,7.88,5.22,12.17,4.39,8.58,23.94,5.77,4.22,28.9,37.17
266,0.04,0.05,0.29,0.31,0.31,1.7,10.0,6.73,9.31,17.66,13.41,9.21,4.55,12.13,11.12,11.68,20.24,14.48,20.36,27.68,18.44,19.04
267,0.11,0.5,0.2,0.08,0.11,5.4,6.67,1.98,7.51,1.07,28.03,15.21,20.25,6.21,9.01,12.97,7.25,3.26,32.0,26.55,26.45,11.74
268,0.13,0.37,0.29,0.15,0.06,5.33,6.67,3.63,3.93,2.97,2.12,18.33,26.16,24.89,13.5,11.88,0.15,39.25,0.78,7.75,36.23,15.99
269,0.23,0.23,0.25,0.19,0.1,2.4,6.67,1.09,7.51,16.41,0.62,16.49,11.8,16.88,15.26,16.79,5.75,23.5,24.57,22.34,9.76,19.83
270,0.19,0.15,0.27,0.2,0.19,7.71,1.0,6.73,8.51,0.81,20.43,21.1,2.09,3.7,13.18,16.35,22.34,32.14,2.03,30.33,14.0,21.5
271,0.17,0.25,0.1,0.16,0.32,7.52,10.0,1.09,1.82,21.71,4.7,18.99,11.75,5.49,23.17,0.58,13.61,28.49,6.06,27.21,14.61,23.63
272,0.31,0.1,0.07,0.28,0.24,9.62,1.0,4.43,2.88,8.07,20.36,16.04,7.12,8.04,1.09,20.25,19.03,10.18,2.66,21.54,30.33,35.29
273,0.25,0.12,0.19,0.27,0.17,3.5,6.67,2.23,5.89,20.26,14.73,9.42,14.15,14.15,9.89,16.13,1.27,19.98,21.31,26.41,26.54,5.76
274,0.13,0.21,0.26,0.06,0.34,9.05,3.33,9.22,5.64,8.14,14.21,11.38,8.59,17.71,18.05,3.99,17.93,38.05,22.06,29.34,3.5,7.05
275,0.12,0.15,0.18,0.29,0.26,4.11,6.67,4.24,2.96,20.8,21.51,24.01,7.44,10.07,13.08,1.3,1.79,19.19,7.68,11.44,34.66,27.03
276,0.02,0.19,0.36,0.2,0.23,4.78,1.0,5.31,9.67,17.02,20.83,14.75,9.55,3.48,17.94,5.84,10.59,19.13,32.28,5.33,31.37,11.89
277,0.3,0.24,0.25,0.15,0.06,5.07,6.67,2.41,5.15,10.61,11.54,25.76,16.19,4.75,4.24,11.38,15.53,21.41,24.25,24.34,5.67,24.33
278,0.26,0.26,0.06,0.16,0.26,2.41,3.33,7.77,4.37,18.17,13.57,14.67,13.3,3.15,23.04,2.81,11.29,33.47,1.01,20.66,13.58,31.28
279,0.12,0.05,0.01,0.43,0.39,9.61,6.67,8.74,3.56,19.72,21.58,4.39,5.25,2.04,19.74,10.77,16.51,18.67,42.06,25.17,8.44,5.66
280,0.12,0.25,0.38,0.02,0.23,9.82,6.67,4.91,3.44,14.68,15.2,17.3,9.17,4.08,25.29,13.95,0.33,12.88,29.71,12.54,14.12,30.75
281,0.31,0.14,0.08,0.15,0.32,6.53,3.33,6.64,7.51,8.77,14.22,4.39,11.48,13.51,18.95,10.14,18.54,21.1,1.76,21.9,21.17,34.07
282,0.41,0.11,0.19,0.01,0.28,9.13,3.33,8.14,4.98,22.08,10.24,3.19,5.71,24.72,3.1,15.79,15.17,6.29,18.05,34.11,28.77,12.78
283,0.04,0.1,0.23,0.35,0.28,5.07,3.33,2.63,6.56,8.39,7.73,14.47,16.19,14.69,11.97,8.91,17.65,11.92,7.53,43.78,1.31,35.46
284,0.29,0.33,0.17,0.19,0.02,8.42,6.67,2.3,3.85,7.27,2.84,12.55,21.57,6.39,9.85,28.94,10.59,43.34,5.77,30.92,16.37,3.6
285,0.08,0.24,0.11,0.14,0.43,4.98,1.0,9.78,7.13,3.96,7.55,18.54,19.98,5.77,10.44,18.34,15.42,23.61,25.55,14.73,9.7,26.41
286,0.27,0.08,0.09,0.15,0.41,6.03,10.0,5.76,2.89,15.26,10.0,3.42,20.58,4.97,14.44,19.11,12.22,22.2,24.73,9.89,21.37,21.81
287,0.44,0.12,0.18,0.06,0.2,8.24,3.33,8.7,6.35,15.92,22.72,13.6,7.53,6.64,15.49,11.77,6.33,32.13,5.68,18.0,15.72,28.47
288,0.43,0.14,0.12,0.3,0.01,2.32,10.0,4.98,4.03,17.23,11.8,9.87,9.49,11.62,9.67,12.84,17.48,24.12,21.79,32.02,14.6,7.47
289,0.26,0.22,0.22,0.05,0.25,6.84,6.67,3.19,3.08,15.66,2.55,0.27,26.32,25.78,10.77,8.73,9.92,20.34,24.59,21.69,7.79,25.59
290,0.21,0.01,0.34,0.31,0.13,5.57,6.67,3.84,4.32,15.71,19.67,1.22,11.92,21.34,2.99,10.98,16.17,28.69,25.53,21.75,2.77,21.26
291,0.01,0.5,0.11,0.36,0.02,3.74,10.0,3.53,5.54,17.24,23.03,9.36,2.66,12.73,0.37,2.06,32.55,42.39,6.26,13.64,6.24,31.47
292,0.22,0.39,0.22,0.11,0.06,5.61,10.0,5.25,4.69,16.4,2.54,17.2,5.76,19.91,9.35,19.42,9.42,25.12,1.24,33.8,2.96,36.88
293,0.03,0.07,0.3,0.3,0.3,6.13,6.67,3.19,2.81,20.39,2.34,0.33,15.16,15.9,10.31,22.63,12.94,32.89,4.63,29.72,30.78,1.98
294,0.18,0.37,0.23,0.13,0.09,7.12,10.0,6.06,7.45,5.57,15.36,8.24,19.39,3.57,19.68,19.45,8.74,43.71,25.53,8.34,5.95,16.47
295,0.07,0.26,0.05,0.34,0.28,5.53,1.0,5.2,6.44,9.57,13.12,11.22,14.51,19.86,14.12,8.49,9.11,12.86,32.82,1.49,26.97,25.86
296,0.08,0.18,0.38,0.22,0.14,9.96,3.33,3.87,1.63,19.85,3.33,3.95,18.57,18.91,18.76,10.26,6.37,17.3,27.95,29.53,3.92,21.3
297,0.05,0.05,0.36,0.16,0.38,5.3,10.0,8.95,9.71,7.26,16.64,14.69,9.15,12.3,18.07,5.07,16.82,21.8,28.35,21.81,18.86,9.18
298,0.24,0.0,0.23,0.25,0.28,9.36,6.67,5.75,2.72,4.64,16.01,12.1,17.08,12.2,15.26,1.69,21.02,15.28,26.56,8.1,28.62,21.44
299,0.06,0.15,0.33,0.27,0.19,1.91,3.33,9.68,4.07,19.86,9.11,9.47,6.78,21.51,1.74,10.37,21.16,33.16,11.11,32.58,18.8,4.35
300,0.02,0.34,0.43,0.05,0.16,9.25,1.0,9.08,6.37,2.14,11.93,5.49,14.35,10.24,25.14,0.65,30.06,11.89,18.63,32.02,6.21,31.25
301,0.33,0.06,0.22,0.33,0.06,3.02,3.33,1.93,8.34,10.6,22.31,3.77,3.05,8.51,0.39,26.3,25.07,11.51,4.51,17.07,40.09,26.82
